id|titulo|tipos|temas|fontes|descricao_do_conjunto_de_dados|descricao_do_tipo_de_arquivo|nome_arquivo|data_ref|data_lancamento
45|HYDROGRAPHIC NETWORK OF THE MRSP: GEOREFERENCED DIGITAL CARTOGRAPHIC DATABASE|Cartographic|Environment|Research Group GovÁgua USP – PROCAM#Statistical Municipal Map – IBGE#Department of Environment of the São Paulo State#DAEE#Sabesp#City Halls of the Municipalities of the Metropolitan Region of São Paulo|"The two archives available here were produced between 2016 and 2017 and provide the bases that were elaborated from existing databases, compatible with the 1: 10,000 scale, seeking the complementation of the cartographic collection available not only to the researchers of the center, but also to society through the CEM website.

The geographical conception of hydrography recognizes two basic types of phenomena on continental surfaces: watercourses (rivers, streams, channels) and bodies of water (lakes and reservoirs). In geoprocessing, water courses are usually linear phenomena, whereas water bodies are polygons (areas). The identification of hydrographic EMF files indicates this condition: HidrL (L = line), where are the rivers, and HydrA (A = area), where are the reservoirs."|"
Dataset Georeferenced Digital Cartographic of the RMSP Hydrographic Network"|Hidrografia_RMSP_CEM.zip|2016|01/01/2017
46|AIH 2000 - Databases on permission for Hospitalization in the Metropolitan Region of São Paulo|Cartographic|Health|DataSUS#Hospital Information System|Raw files collected data portal of the Ministry of Health were geocoded by postal code (CEP) of the patient's residence. Each point represents an AIH, with basic information, such as characterization of the patient (age, sex, etc.), hospitalization (number of AIH, hospital, specialty, procedure requested and performed, diagnosis, date of admission and discharge, reason for charging ) and billing (amount charged).|AIH 2000#Variables Dictionary - 2001-2003#Instruction manual|AIH2000.rar#AIH_dicio.pdf#AIH_manual.pdf|2000|01/01/2010
47|AIH 2001 - Databases on permission for Hospitalization in the Metropolitan Region of São Paulo|Cartographic|Health|DataSUS#Hospital Information System|Raw files collected data portal of the Ministry of Health were geocoded by postal code (CEP) of the patient's residence. Each point represents an AIH, with basic information, such as characterization of the patient (age, sex, etc.), hospitalization (number of AIH, hospital, specialty, procedure requested and performed, diagnosis, date of admission and discharge, reason for charging ) and billing (amount charged).|AIH 2001#Variables Dictionary - 2001-2003#Instruction manual|AIH2001.rar#AIH_dicio.pdf#AIH_manual.pdf|2001|01/01/2010
48|AIH 2002 - Databases on permission for Hospitalization in the Metropolitan Region of São Paulo|Cartographic|Health|DataSUS#Hospital Information System|Raw files collected data portal of the Ministry of Health were geocoded by postal code (CEP) of the patient's residence. Each point represents an AIH, with basic information, such as characterization of the patient (age, sex, etc.), hospitalization (number of AIH, hospital, specialty, procedure requested and performed, diagnosis, date of admission and discharge, reason for charging ) and billing (amount charged).|AIH 2002#Variables Dictionary - 2001-2003#Instruction manual|AIH2002.rar#AIH_dicio.pdf#AIH_manual.pdf|2002|01/01/2010
49|AIH 2003 - Databases on permission for Hospitalization in the Metropolitan Region of São Paulo|Cartographic|Health|DataSUS#Hospital Information System|Raw files collected data portal of the Ministry of Health were geocoded by postal code (CEP) of the patient's residence. Each point represents an AIH, with basic information, such as characterization of the patient (age, sex, etc.), hospitalization (number of AIH, hospital, specialty, procedure requested and performed, diagnosis, date of admission and discharge, reason for charging ) and billing (amount charged).|AIH 2003#Variables Dictionary - 2001-2003#Instruction manual|AIH2003.rar#AIH_dicio.pdf#AIH_manual.pdf|2003|01/01/2010
50|AIH 2007 - Databases on permission for Hospitalization in the Metropolitan Region of São Paulo|Cartographic|Health|DataSUS#Hospital Information System|Raw files collected data portal of the Ministry of Health were geocoded by postal code (CEP) of the patient's residence. Each point represents an AIH, with basic information, such as characterization of the patient (age, sex, etc.), hospitalization (number of AIH, hospital, specialty, procedure requested and performed, diagnosis, date of admission and discharge, reason for charging ) and billing (amount charged).|AIH 2007#Variables Dictionary - 2007#Instruction manual|AIH2007.rar#dicionario_saude_2007_cem.pdf#AIH_manual.pdf|2007|01/01/2010
51|Ambulatory - Digital mapping with cadastral data from public clinics 2001 2007|Cartographic|Health|Department of Health of the São Paulo State#DataSUS|Databases on clinics and hospitals in the Metropolitan Region of São Paulo, whose source of information for the DATASUS 2001, 2007|Database#Documentation|AMBULA01.rar#AMBULA_LEIAME.pdf|2001|01/01/2010
52|Hospitals - Digital mapping with cadastral data associated with SUS (Unified Health System) Public and private hospitals 2001|Cartographic|Health|Department of Health of the São Paulo State#DataSUS|Databases on clinics and hospitals in the Metropolitan Region of São Paulo, whose source of information for the DATASUS 2001|Database - 2001#Documentation - 2001|HOSP2001.rar#HOSP2001_LEIAME.pdf|2001|01/01/2010
53|Hospitals - Digital mapping with cadastral data associated with SUS (Unified Health System) Public and private hospitals 2007|Cartographic|Health|Department of Health of the São Paulo State#DataSUS|Databases on clinics and hospitals in the Metropolitan Region of São Paulo, whose source of information for the DATASUS 2007|Database - 2007#Documentation - 2007|HOSP2007.rar#dicionario_saude_2007_cem.pdf|2007|01/01/2010
54|UBS - Digital mapping with cadastral data of the Basic Health Units|Cartographic|Health|Department of Health of the São Paulo State#DataSUS|Databases on Basic Health Units (BHU) in the Metropolitan Region of São Paulo, whose source of information for the DATASUS 2001, 2007|Database - 2007#Documentation - 2007|Especialidades2007.rar#dicionario_saude_2007_cem.pdf|2007|01/01/2010
55|Ambulatory - digital cartography with registration data for outpatient services|Cartographic|Health|Department of Health of the São Paulo State#DataSUS|Ambulatory, Hospitals, Basic Health Units (BHU) and ambulatory specialties -> Databases on clinics and hospitals in the Metropolitan Region of São Paulo, whose source of information for the Datasus 2001 2007:|Database - 2007#Documentation - 2007|Especialidades2007.rar#dicionario_saude_2007_cem.pdf|2007|01/01/2010
56|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2000

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2000. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2000#Database Dictionary AIH 2000-2016|AIH_2000_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2000|01/01/2017
57|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2001

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2001. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2001#Database Dictionary AIH 2000-2016|AIH_2001_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2001|01/01/2017
58|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2002

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2002. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2002#Database Dictionary AIH 2000-2016|AIH_2002_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2002|01/01/2017
59|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2003

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2003. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2003#Database Dictionary AIH 2000-2016|AIH_2003_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2003|01/01/2017
60|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2004

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2004. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2004#Database Dictionary AIH 2000-2016|AIH_2004_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2004|01/01/2017
61|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2005

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2005. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2005#Database Dictionary AIH 2000-2016|AIH_2005_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2005|01/01/2017
62|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2006

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2006. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2006#Database Dictionary AIH 2000-2016|AIH_2006_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2006|01/01/2017
63|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2007

"|Cartographic|Health||Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2007. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2007#Database Dictionary AIH 2000-2016|AIH_2007_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2007|01/01/2017
64|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2008

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2008. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2008#Database Dictionary AIH 2000-2016|AIH_2008_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2008|01/01/2017
65|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2009

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2009. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2009#Database Dictionary AIH 2000-2016|AIH_2009_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2009|01/01/2017
66|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2010

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2010. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2010#Database Dictionary AIH 2000-2016|AIH_2010_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf|2010|01/01/2017
67|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2011

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2011. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2011#Database Dictionary AIH 2000-2016|AIH_2011_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf|2011|01/01/2017
68|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2012

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2012. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2012#Database Dictionary AIH 2000-2016|AIH_2012_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf|2012|01/01/2017
69|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2013

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2013. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2013#Database Dictionary AIH 2000-2016|AIH_2013_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf|2013|01/01/2017
70|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2014

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2014. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2014#Database Dictionary AIH 2000-2016|AIH_2014_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf|2014|01/01/2017
71|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2015

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2015. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2015#Database Dictionary AIH 2000-2016|AIH_2015_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf|2015|01/01/2017
72|"Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo, 2016

"|Cartographic|Health|DataSUS#Hospital Information System|Base geocoded AIH / sustainable Participation and Health Policy in the City of São Paulo for the year 2016. For more information on the databases of the Health theme, please visit the Datasus website.|Database - 2016#Database Dictionary AIH 2000-2016|AIH_2016_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf|2016|01/01/2017
73|HEALTH VARIABLES, STRUCTURE AND UNIFIED HEALTH SYSTEM PERFORMANCE FOR 645 MUNICIPALITIES OF SÃO PAULO STATE (2001-2012)|No Cartographic|Health|DataSUS|The database provides synthetic indicators to all 645 municipalities in the State of São Paulo, such as the Municipal Human Development Index, the Unified Health System Performance Index, demographic and economic indicators, health expenses, indicators assessing the population’s health, indicators for service provision in primary care and performance. Data related to the period from 2001 to 2014. These indicators are concerned with health inequality tendencies in São Paulo as well as hypotheses regarding the effects of indirect service contracting over primary care provision and health indicators. Data collection period: from July 2013 to December 2016.|Health variables, structure and performance of the National Health System for the 645 municipalities in the State of São Paulo (.zip format file with 12.164 Kb)|BD_Saude_dos_Municipios_do_ESP_2001_2014_CEM.zip|2001-2014|01/01/2015
74|ShapeFile of Brazil divided into Major Regions|Cartographic|Territorial Division|IBGE#Ministry of the Cities||Shapefile#Methodological notes of the dataset cartographic 2010|CemBrReg.zip#notasmetodologicasbcartograficas.pdf|2000|01/01/2004
75|"
ShapeFile of Brazil divided into Federation Units"|Cartographic|Territorial Division|IBGE#Ministry of the Cities||ShapeFile#Methodological notes of the dataset cartographic 2010|CemBrEst.zip#notasmetodologicasbcartograficas.pdf|2000|01/01/2004
76|ShapeFile of Brazil divided into Municipalities|Cartographic|Territorial Division|IBGE#Ministry of the Cities||ShapeFile#Worksheet of the Brazilian Municipalities with attributes of Administrative Capabilities#Methodological notes of the dataset cartographic 2010|CemBrMun.zip#listagem_por_uf.xls#notasmetodologicasbcartograficas.pdf|2000|01/01/2004
77|ShapeFile of Brazil - outline of the Metropolitan Regions|Cartographic|Territorial Division|IBGE#Ministry of the Cities||ShapeFile#Data Dictionary of Census Sectors 2000#Methodological notes of the dataset cartographic 2010|CemBrRM.zip#DICIONARIO.pdf#notasmetodologicasbcartograficas.pdf|2000|01/01/2004
78|ShapeFile of the census tracts of the municipality Abadia de Goiás / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Abadia de Goiás / GO / Midwest|Abadia_de_Goias.zip|2000|01/01/2004
79|ShapeFile of the census tracts of the municipality Abreu e Lima / PE / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Abreu e Lima / PE / Northeast|Abreu_e_Lima.zip|2000|01/01/2004
80|ShapeFile of the census tracts of the municipality Águas Lindas de Goiás / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Águas Lindas de Goiás / GO / Midwest|Aguas_Lindas_de_Goias.zip|2000|01/01/2004
81|ShapeFile of the census tracts of the municipality Alexânia / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Alexânia / GO / Midwest|Alexania.zip|2000|01/01/2004
82|ShapeFile of the census tracts of the municipality Almirante Tamandaré / PR / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Almirante Tamandaré / PR / South|Almirante_Tamandare.zip|2000|01/01/2004
83|ShapeFile of the census tracts of the municipality Altos / PI / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Altos / PI / Northeast|Altos.zip|2000|01/01/2004
84|ShapeFile of the census tracts of the municipality Alvorada / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Alvorada / RS / South|Alvorada.zip|2000|01/01/2004
85|ShapeFile of the census tracts of the municipality Americana / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Americana / SP / Southeast|Americana.zip|2000|01/01/2004
86|ShapeFile of the census tracts of the municipality Ananindeua / PA / North - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Ananindeua / PA / North|Ananindeua.zip|2000|01/01/2004
87|ShapeFile of the census tracts of the municipality Anápolis / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Anápolis / GO / Midwest|Anapolis.zip|2000|01/01/2004
88|ShapeFile of the census tracts of the municipality Aparecida de Goiânia / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Aparecida de Goiânia / GO / Midwest|Aparecida_de_Goiania.zip|2000|01/01/2004
89|ShapeFile of the census tracts of the municipality Aquiraz / CE / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Aquiraz / CE / Northeast|Aquiraz.zip|2000|01/01/2004
90|ShapeFile of the census tracts of the municipality Aracaju / SE / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Aracaju / SE / Northeast|Aracaju.zip|2000|01/01/2004
91|ShapeFile of the census tracts of the municipality Araçatuba / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Araçatuba / SP / Southeast|Aracatuba.zip|2000|01/01/2004
92|ShapeFile of the census tracts of the municipality Araçoiaba / PE / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Araçoiaba / PE / Northeast|Aracoiaba.zip|2000|01/01/2004
93|ShapeFile of the census tracts of the municipality Aragoiânia / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Aragoiânia / GO / Midwest|Aragoiania.zip|2000|01/01/2004
94|ShapeFile of the census tracts of the municipality Arapiraca / AL / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Arapiraca / AL / Northeast|Arapiraca.zip|2000|01/01/2004
95|ShapeFile of the census tracts of the municipality Araraquara / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Araraquara / SP / Southeast|Araraquara.zip|2000|01/01/2004
96|ShapeFile of the census tracts of the municipality Araricá / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Araricá / RS / South|Ararica.zip|2000|01/01/2004
97|ShapeFile of the census tracts of the municipality Araucária / PR / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Araucária / PR / South|Araucaria.zip|2000|01/01/2004
98|ShapeFile of the census tracts of the municipality Arroio dos Ratos / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Arroio dos Ratos / RS / South|Arroio_dos_Ratos.zip|2000|01/01/2004
99|ShapeFile of the census tracts of the municipality Artur Nogueira / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Artur Nogueira / SP / Southeast|Artur_Nogueira.zip|2000|01/01/2004
100|ShapeFile of the census tracts of the municipality Arujá / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Arujá / SP / Southeast|Aruja.zip|2000|01/01/2004
101|ShapeFile of the census tracts of the municipality Baldim / MG / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Baldim / MG / Southeast|Baldim.zip|2000|01/01/2004
102|ShapeFile of the census tracts of the municipality Barra de Santo Antônio / AL / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Barra de Santo Antônio / AL / Northeast|Barra_de_Santo_Antonio.zip|2000|01/01/2004
103|ShapeFile of the census tracts of the municipality Barra de São Miguel / AL / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Barra de São Miguel / AL / Northeast|Barra_de_Sao_Miguel.zip|2000|01/01/2004
104|ShapeFile of the census tracts of the municipality Barra Mansa / RJ / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Barra Mansa / RJ / Southeast|Barra_Mansa.zip|2000|01/01/2004
105|ShapeFile of the census tracts of the municipality Barueri / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Barueri / SP / Southeast|Barueri.zip|2000|01/01/2004
106|ShapeFile of the census tracts of the municipality Bauru / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Bauru / SP / Southeast|Bauru.zip|2000|01/01/2004
107|ShapeFile of the census tracts of the municipality Bayeux / PB / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Bayeux / PB / Northeast|Bayeux.zip|2000|01/01/2004
108|ShapeFile of the census tracts of the municipality Bela Vista de Goiás / GO / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Bela Vista de Goiás / GO / Midwest|Bela_Vista_de_Goias.zip|2000|01/01/2004
109|ShapeFile of the census tracts of the municipality Belém / PA / North - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Belém / PA / North|Belem.zip|2000|01/01/2004
110|ShapeFile of the census tracts of the municipality Belford Roxo / RJ / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Belford Roxo / RJ / Southeast|Belford_Roxo.zip|2000|01/01/2004
111|ShapeFile of the census tracts of the municipality Belo Horizonte / MG / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Belo Horizonte / MG / Southeast|Belo_Horizonte.zip|2000|01/01/2004
112|ShapeFile of the census tracts of the municipality Benevides / PA / North - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Benevides / PA / North|Benevides.zip|2000|01/01/2004
113|ShapeFile of the census tracts of the municipality Bertioga / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Bertioga / SP / Southeast|Bertioga.zip|2000|01/01/2004
114|ShapeFile of the census tracts of the municipality Betim / MG / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Betim / MG / Southeast|Betim.zip|2000|01/01/2004
115|ShapeFile of the census tracts of the municipality Biguaçu / SC / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Biguaçu / SC / South|Biguacu.zip|2000|01/01/2004
116|ShapeFile of the census tracts of the municipality Biritiba-Mirim / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Biritiba-Mirim / SP / Southeast|Biritiba-Mirim.zip|2000|01/01/2004
117|ShapeFile of the census tracts of the municipality Blumenau / SC / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Blumenau / SC / South|Blumenau.zip|2000|01/01/2004
118|ShapeFile of the census tracts of the municipality Boa Vista / RR / North - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Boa Vista / RR / North|Boa_Vista.zip|2000|01/01/2004
119|ShapeFile of the census tracts of the municipality Brasília / DF / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Brasília / DF / Midwest|Brasilia.zip|2000|01/01/2004
120|ShapeFile of the census tracts of the municipality Brumadinho / MG / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Brumadinho / MG / Southeast|Brumadinho.zip|2000|01/01/2004
121|ShapeFile of the census tracts of the municipality Buritis / MG / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Buritis / MG / Southeast|Buritis.zip|2000|01/01/2004
122|ShapeFile of the census tracts of the municipality Cabedelo / PB / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Cabedelo / PB / Northeast|Cabedelo.zip|2000|01/01/2004
123|ShapeFile of the census tracts of the municipality Cabo de Santo Agostinho / PE / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Cabo de Santo Agostinho / PE / Northeast|Cabo_de_Santo_Agostinho.zip|2000|01/01/2004
124|ShapeFile of the census tracts of the municipality Cachoeiras de Macacu / RJ / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Cachoeiras de Macacu / RJ / Southeast|Cachoeiras_de_Macacu.zip|2000|01/01/2004
125|ShapeFile of the census tracts of the municipality Cachoeirinha / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Cachoeirinha / RS / South|Cachoeirinha.zip|2000|01/01/2004
126|ShapeFile of the census tracts of the municipality Cachoeiro de Itapemirim / ES / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Cachoeiro de Itapemirim / ES / Southeast|Cachoeiro_de_Itapemirim.zip|2000|01/01/2004
127|ShapeFile of the census tracts of the municipality Caeté / MG / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Caeté / MG / Southeast|Caete.zip|2000|01/01/2004
128|ShapeFile of the census tracts of the municipality Caieiras / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Caieiras / SP / Southeast|Caieiras.zip|2000|01/01/2004
129|ShapeFile of the census tracts of the municipality Cajamar / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Cajamar / SP / Southeast|Cajamar.zip|2000|01/01/2004
130|ShapeFile of the census tracts of the municipality Camaçari / BA / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Camaçari / BA / Northeast|Camacari.zip|2000|01/01/2004
131|ShapeFile of the census tracts of the municipality Camaragibe / PE / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Camaragibe / PE / Northeast|Camaragibe.zip|2000|01/01/2004
132|ShapeFile of the census tracts of the municipality Campina Grande / PB / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campina Grande / PB / Northeast|Campina_Grande.zip|2000|01/01/2004
133|ShapeFile of the census tracts of the municipality Campina Grande do Sul / PR / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campina Grande do Sul / PR / South|Campina_Grande_do_Sul.zip|2000|01/01/2004
134|ShapeFile of the census tracts of the municipality Campinas / SP / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campinas / SP / Southeast|Campinas.zip|2000|01/01/2004
135|ShapeFile of the census tracts of the municipality Campo Bom / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campo Bom / RS / South|Campo_Bom.zip|2000|01/01/2004
136|ShapeFile of the census tracts of the municipality Campo Grande / MS / Midwest - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campo Grande / MS / Midwest|Campo_Grande.zip|2000|01/01/2004
137|ShapeFile of the census tracts of the municipality Campo Largo / PR / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campo Largo / PR / South|Campo_Largo.zip|2000|01/01/2004
138|ShapeFile of the census tracts of the municipality Campo Magro / PR / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campo Magro / PR / South|Campo_Magro.zip|2000|01/01/2004
139|ShapeFile of the census tracts of the municipality Campos dos Goytacazes / RJ / Southeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Campos dos Goytacazes / RJ / Southeast|Campos_dos_Goytacazes.zip|2000|01/01/2004
140|ShapeFile of the census tracts of the municipality Candeias / BA / Northeast - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Candeias / BA / Northeast|Candeias.zip|2000|01/01/2004
141|ShapeFile of the census tracts of the municipality Canoas / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Canoas / RS / South|Canoas.zip|2000|01/01/2004
142|ShapeFile of the census tracts of the municipality Capela de Santana / RS / South - 2000|Cartographic|Demographic Census 2000|IBGE#Ministry of the Cities||Capela de Santana / RS / South|Capela_de_Santana.zip|2000|01/01/2004
