id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
63;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2008;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2008. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2008#Dicionário da Base de Dados AIH 2000-2016;AIH_2008_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf;2008;01/01/2017
64;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2009;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2009. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2009#Dicionário da Base de Dados AIH 2000-2016;AIH_2009_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf;2009;01/01/2017
65;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2010;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2010. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2010#Dicionário da Base de Dados AIH 2000-2016;AIH_2010_CEM.rar#Dicionario_AIHs_2000_2016_CEM.pdf;2010;01/01/2017
66;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2011;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2011. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2011#Dicionário da Base de Dados AIH 2000-2016;AIH_2011_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf;2011;01/01/2017
67;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2012;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2012. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2012#Dicionário da Base de Dados AIH 2000-2016;AIH_2012_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf;2012;01/01/2017
68;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2013;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2013. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2013#Dicionário da Base de Dados AIH 2000-2016;AIH_2013_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf;2013;01/01/2017
69;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2014;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2014. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2014#Dicionário da Base de Dados AIH 2000-2016;AIH_2014_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf;2014;01/01/2017
70;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2015;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2015. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2015#Dicionário da Base de Dados AIH 2000-2016;AIH_2015_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf;2015;01/01/2017
71;Base de dados geocodificados das Autorizações das Internações Hospitalares (AIH) no município de São Paulo, 2016;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) no Município de Saõ Paulo;Base de dados geocodificados das Autorizações das Internações Hospitalares no município de São Paulo para o ano 2016. Para mais informações sobre as bases de dados do tema Saúde, visite o website do Datasus.;cartográfico;Base de dados - 2016#Dicionário da Base de Dados AIH 2000-2016;AIH_2016_CEM.zip#Dicionario_AIHs_2000_2016_CEM.pdf;2016;01/01/2017
72;Variáveis de Saúde, Estrutura e desempenho do Sistema único de Saúde para os 645 municípios do Estado de São Paulo (2001 - 2012);Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS;;O banco contempla, para todos os 645 municípios do Estado de São Paulo, indicadores sintéticos como IDHM, IDSUS, indicadores demográficos e econômicos, gastos em saúde, indicadores que avaliam a saúde da população, indicadores de oferta de serviços na atenção básica e desempenho. Os dados se referem ao período de 2001 a 2014. Tais indicadores são concernentes às tendências de desigualdade em saúde no Estado de São Paulo, assim como às hipóteses sobre os impactos da contratação indireta de serviços sobre os indicadores de oferta e de saúde associados à atenção básica. Período de coleta dos dados: de julho de 2013 a dezembro de 2016.;não cartográfico;Variáveis de saúde, estrutura e desempenho do Sistema Único de Saúde para os 645 municípios do Estado de São Paulo (arquivo em formato;BD_Saude_dos_Municipios_do_ESP_2001_2014_CEM.zip;;
73;ShapeFile do Brasil dividido em Grandes Regiões;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Divisão administrativa do Brasil;;cartográfico;Shapefile#Notas metodológicas das bases cartográficas 2010;CemBrReg.zip#notasmetodologicasbcartograficas.pdf;;
74;ShapeFile do Brasil dividido em Unidades da Federação;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Divisão administrativa do Brasil;;cartográfico;ShapeFile#Notas metodológicas das bases cartográficas 2010;CemBrEst.zip#notasmetodologicasbcartograficas.pdf;;
75;ShapeFile do Brasil dividido em Municípios;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Divisão administrativa do Brasil;;cartográfico;ShapeFile#Planilha dos Municípios brasileiros com atributos de Capacidades Administrativas#Notas metodológicas das bases cartográficas 2010;CemBrMun.zip#listagem_por_uf.xls#notasmetodologicasbcartograficas.pdf;;
76;ShapeFile do Brasil - contorno das Regiões Metropolitanas;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Divisão administrativa do Brasil;;cartográfico;ShapeFile#Dicionário dos dados de Setores Censitários 2000#Notas metodológicas das bases cartográficas 2010;CemBrRM.zip#DICIONARIO.pdf#notasmetodologicasbcartograficas.pdf;;
77;ShapeFile dos Setores censitários do município Abadia de Goiás / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Abadia de Goiás / GO / Centro-Oeste;Abadia_de_Goias.zip;2000;
78;ShapeFile dos Setores censitários do município Abreu e Lima / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Abreu e Lima / PE / Nordeste;Abreu_e_Lima.zip;2000;
79;ShapeFile dos Setores censitários do município Águas Lindas de Goiás / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Águas Lindas de Goiás / GO / Centro-Oeste;Aguas_Lindas_de_Goias.zip;2000;
80;ShapeFile dos Setores censitários do município Alexânia / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Alexânia / GO / Centro-Oeste;Alexania.zip;2000;
81;ShapeFile dos Setores censitários do município Almirante Tamandaré / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Almirante Tamandaré / PR / Sul;Almirante_Tamandare.zip;2000;
82;ShapeFile dos Setores censitários do município Altos / PI / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Altos / PI / Nordeste;Altos.zip;2000;
83;ShapeFile dos Setores censitários do município Alvorada / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Alvorada / RS / Sul;Alvorada.zip;2000;
84;ShapeFile dos Setores censitários do município Americana / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Americana / SP / Sudeste;Americana.zip;2000;
85;ShapeFile dos Setores censitários do município Ananindeua / PA / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Ananindeua / PA / Norte;Ananindeua.zip;2000;
86;ShapeFile dos Setores censitários do município Anápolis / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Anápolis / GO / Centro-Oeste;Anapolis.zip;2000;
87;ShapeFile dos Setores censitários do município Aparecida de Goiânia / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Aparecida de Goiânia / GO / Centro-Oeste;Aparecida_de_Goiania.zip;2000;
88;ShapeFile dos Setores censitários do município Aquiraz / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Aquiraz / CE / Nordeste;Aquiraz.zip;2000;
89;ShapeFile dos Setores censitários do município Aracaju / SE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Aracaju / SE / Nordeste;Aracaju.zip;2000;
90;ShapeFile dos Setores censitários do município Araçatuba / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Araçatuba / SP / Sudeste;Aracatuba.zip;2000;
91;ShapeFile dos Setores censitários do município Araçoiaba / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Araçoiaba / PE / Nordeste;Aracoiaba.zip;2000;
92;ShapeFile dos Setores censitários do município Aragoiânia / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Aragoiânia / GO / Centro-Oeste;Aragoiania.zip;2000;
93;ShapeFile dos Setores censitários do município Arapiraca / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Arapiraca / AL / Nordeste;Arapiraca.zip;2000;
94;ShapeFile dos Setores censitários do município Araraquara / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Araraquara / SP / Sudeste;Araraquara.zip;2000;
95;ShapeFile dos Setores censitários do município Araricá / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Araricá / RS / Sul;Ararica.zip;2000;
96;ShapeFile dos Setores censitários do município Araucária / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Araucária / PR / Sul;Araucaria.zip;2000;
97;ShapeFile dos Setores censitários do município Arroio dos Ratos / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Arroio dos Ratos / RS / Sul;Arroio_dos_Ratos.zip;2000;
98;ShapeFile dos Setores censitários do município Artur Nogueira / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Artur Nogueira / SP / Sudeste;Artur_Nogueira.zip;2000;
99;ShapeFile dos Setores censitários do município Arujá / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Arujá / SP / Sudeste;Aruja.zip;2000;
100;ShapeFile dos Setores censitários do município Baldim / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Baldim / MG / Sudeste;Baldim.zip;2000;
101;ShapeFile dos Setores censitários do município Barra de Santo Antônio / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Barra de Santo Antônio / AL / Nordeste;Barra_de_Santo_Antonio.zip;2000;
102;ShapeFile dos Setores censitários do município Barra de São Miguel / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Barra de São Miguel / AL / Nordeste;Barra_de_Sao_Miguel.zip;2000;
103;ShapeFile dos Setores censitários do município Barra Mansa / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Barra Mansa / RJ / Sudeste;Barra_Mansa.zip;2000;
104;ShapeFile dos Setores censitários do município Barueri / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Barueri / SP / Sudeste;Barueri.zip;2000;
105;ShapeFile dos Setores censitários do município Bauru / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Bauru / SP / Sudeste;Bauru.zip;2000;
106;ShapeFile dos Setores censitários do município Bayeux / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Bayeux / PB / Nordeste;Bayeux.zip;2000;
107;ShapeFile dos Setores censitários do município Bela Vista de Goiás / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Bela Vista de Goiás / GO / Centro-Oeste;Bela_Vista_de_Goias.zip;2000;
108;ShapeFile dos Setores censitários do município Belém / PA / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Belém / PA / Norte;Belem.zip;2000;
109;ShapeFile dos Setores censitários do município Belford Roxo / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Belford Roxo / RJ / Sudeste;Belford_Roxo.zip;2000;
110;ShapeFile dos Setores censitários do município Belo Horizonte / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Belo Horizonte / MG / Sudeste;Belo_Horizonte.zip;2000;
111;ShapeFile dos Setores censitários do município Benevides / PA / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Benevides / PA / Norte;Benevides.zip;2000;
112;ShapeFile dos Setores censitários do município Bertioga / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Bertioga / SP / Sudeste;Bertioga.zip;2000;
113;ShapeFile dos Setores censitários do município Betim / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Betim / MG / Sudeste;Betim.zip;2000;
114;ShapeFile dos Setores censitários do município Biguaçu / SC / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Biguaçu / SC / Sul;Biguacu.zip;2000;
115;ShapeFile dos Setores censitários do município Biritiba-Mirim / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Biritiba-Mirim / SP / Sudeste;Biritiba-Mirim.zip;2000;
116;ShapeFile dos Setores censitários do município Blumenau / SC / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Blumenau / SC / Sul;Blumenau.zip;2000;
117;ShapeFile dos Setores censitários do município Boa Vista / RR / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Boa Vista / RR / Norte;Boa_Vista.zip;2000;
118;ShapeFile dos Setores censitários do município Brasília / DF / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Brasília / DF / Centro-Oeste;Brasilia.zip;2000;
119;ShapeFile dos Setores censitários do município Brumadinho / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Brumadinho / MG / Sudeste;Brumadinho.zip;2000;
120;ShapeFile dos Setores censitários do município Buritis / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Buritis / MG / Sudeste;Buritis.zip;2000;
121;ShapeFile dos Setores censitários do município Cabedelo / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cabedelo / PB / Nordeste;Cabedelo.zip;2000;
122;ShapeFile dos Setores censitários do município Cabo de Santo Agostinho / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cabo de Santo Agostinho / PE / Nordeste;Cabo_de_Santo_Agostinho.zip;2000;
123;ShapeFile dos Setores censitários do município Cachoeiras de Macacu / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cachoeiras de Macacu / RJ / Sudeste;Cachoeiras_de_Macacu.zip;2000;
124;ShapeFile dos Setores censitários do município Cachoeirinha / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cachoeirinha / RS / Sul;Cachoeirinha.zip;2000;
125;ShapeFile dos Setores censitários do município Cachoeiro de Itapemirim / ES / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cachoeiro de Itapemirim / ES / Sudeste;Cachoeiro_de_Itapemirim.zip;2000;
126;ShapeFile dos Setores censitários do município Caeté / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Caeté / MG / Sudeste;Caete.zip;2000;
127;ShapeFile dos Setores censitários do município Caieiras / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Caieiras / SP / Sudeste;Caieiras.zip;2000;
128;ShapeFile dos Setores censitários do município Cajamar / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cajamar / SP / Sudeste;Cajamar.zip;2000;
129;ShapeFile dos Setores censitários do município Camaçari / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Camaçari / BA / Nordeste;Camacari.zip;2000;
130;ShapeFile dos Setores censitários do município Camaragibe / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Camaragibe / PE / Nordeste;Camaragibe.zip;2000;
131;ShapeFile dos Setores censitários do município Campina Grande / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campina Grande / PB / Nordeste;Campina_Grande.zip;2000;
132;ShapeFile dos Setores censitários do município Campina Grande do Sul / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campina Grande do Sul / PR / Sul;Campina_Grande_do_Sul.zip;2000;
133;ShapeFile dos Setores censitários do município Campinas / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campinas / SP / Sudeste;Campinas.zip;2000;
134;ShapeFile dos Setores censitários do município Campo Bom / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campo Bom / RS / Sul;Campo_Bom.zip;2000;
135;ShapeFile dos Setores censitários do município Campo Grande / MS / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campo Grande / MS / Centro-Oeste;Campo_Grande.zip;2000;
136;ShapeFile dos Setores censitários do município Campo Largo / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campo Largo / PR / Sul;Campo_Largo.zip;2000;
137;ShapeFile dos Setores censitários do município Campo Magro / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campo Magro / PR / Sul;Campo_Magro.zip;2000;
138;ShapeFile dos Setores censitários do município Campos dos Goytacazes / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Campos dos Goytacazes / RJ / Sudeste;Campos_dos_Goytacazes.zip;2000;
139;ShapeFile dos Setores censitários do município Candeias / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Candeias / BA / Nordeste;Candeias.zip;2000;
140;ShapeFile dos Setores censitários do município Canoas / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Canoas / RS / Sul;Canoas.zip;2000;
141;ShapeFile dos Setores censitários do município Capela de Santana / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Capela de Santana / RS / Sul;Capela_de_Santana.zip;2000;
142;ShapeFile dos Setores censitários do município Capim Branco / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Capim Branco / MG / Sudeste;Capim_Branco.zip;2000;
143;ShapeFile dos Setores censitários do município Carapicuíba / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Carapicuíba / SP / Sudeste;Carapicuiba.zip;2000;
144;ShapeFile dos Setores censitários do município Cariacica / ES / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cariacica / ES / Sudeste;Cariacica.zip;2000;
145;ShapeFile dos Setores censitários do município Caruaru / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Caruaru / PE / Nordeste;Caruaru.zip;2000;
146;ShapeFile dos Setores censitários do município Cascavel / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cascavel / PR / Sul;Cascavel.zip;2000;
